superiotool r4.14-92-g9ea62fe6de
Found ITE IT8728F (id=0x8728, rev=0x1) at 0x2e
Register dump:
0x40: 0x7f   (MM)
0x41: 0x7f   (MM)
0x42: 0x7f   (MM)
0x43: 0x7f   (MM)
0x44: 0x5a   (MM)
0x45: 0x7f   (MM)
0x50: 0xff   (0x00)
0x51: 0xf8   (0x00)
0x52: 0x7f   (0x7f)
0x53: 0x7f   (0x7f)
0x54: 0x5a   (0x7f)
0x55: 0xc0   (0x40)
0x56: 0x5c   (0x00)
0x57: 0x5c   (0x00)
0x58: 0x90   (0x90)
0x59: 0x5c   (0x00)
0x5b: 0x12   (0x12)
0x5c: 0x65   (0x60)
0x5d: 0x00   (0x00)
0x5e: 0x00   (0x00)
0x5f: 0x00   (0x00)
0x60: 0x00   (0x7f)
0x61: 0x14   (0x7f)
0x62: 0x41   (0x7f)
0x63: 0x46   (0x00)
0x64: 0x1c   (0x00)
0x65: 0x03   (0x7f)
0x66: 0x00   (0x0f)
0x68: 0x00   (0x7f)
0x69: 0x14   (0x7f)
0x6a: 0x41   (0x7f)
0x6b: 0x46   (0x00)
0x6c: 0x20   (0x00)
0x6d: 0x03   (0x7f)
0x6e: 0x00   (0x0f)
0x70: 0x00   (0x7f)
0x71: 0x14   (0x7f)
0x72: 0x41   (0x7f)
0x73: 0x46   (0x00)
0x74: 0x1c   (0x00)
0x75: 0x03   (0x7f)
0x76: 0x00   (0x0f)
0x80: 0x00   (NA)
0x81: 0x00   (NA)
0x82: 0x00   (NA)
0x83: 0x00   (NA)
0x84: 0x00   (MM)
0x85: 0x00   (MM)
0x86: 0x00   (MM)
0x87: 0x00   (MM)
0x88: 0x02   (0x00)
0x89: 0x30   (0x00)
0x8a: 0x01   (0x00)
0x8b: 0x02   (0x00)
0x8c: 0x01   (0x00)
0x8d: 0xbe   (0x00)
0x8e: 0x20   (0x00)
0x8f: 0x3d   (NA)
0x90: 0xff   (0xff)
0x91: 0x00   (0x00)
0x92: 0x00   (0x00)
0x94: 0xff   (0xff)
0x95: 0x00   (0x00)
0x96: 0x00   (0x00)
0x98: 0x40   (0x00)
0x99: 0x00   (0x00)
0x9c: 0x00   (0x00)
0x9d: 0xcf   (MM)
0x9e: 0x00   (0x00)
0x9f: 0x7c   (MM)

BRAM (0x0000)
